Smiles	Token
[C][O][C][C][C][C][Branch2][Ring2][Branch2][C][=Branch1][C][=O][N][C][=C][C][Branch2][Ring1][#Branch1][C][=C][C][=N][C][Branch1][=N][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][=C][Ring1][=C][=C][C][=N][Ring2][Ring1][Ring2][C][C][Ring2][Ring1][=N]	[C] [O] [C] [C] [C] [C] [Branch2] [Ring2] [Branch2] [C] [=Branch1] [C] [=O] [N] [C] [=C] [C] [Branch2] [Ring1] [#Branch1] [C] [=C] [C] [=N] [C] [Branch1] [=N] [N] [C] [=C] [C] [=C] [Branch1] [C] [F] [C] [=C] [Ring1] [#Branch1] [=C] [Ring1] [=C] [=C] [C] [=N] [Ring2] [Ring1] [Ring2] [C] [C] [Ring2] [Ring1] [=N]
[C][N][C][=N][C][=C][C][Branch2][Ring1][Ring1][C][Branch1][Ring1][C][#N][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][S][Ring1][=Branch2][=N][Ring2][Ring1][C]	[C] [N] [C] [=N] [C] [=C] [C] [Branch2] [Ring1] [Ring1] [C] [Branch1] [Ring1] [C] [#N] [C] [=N] [C] [=C] [C] [=C] [C] [=C] [Ring1] [=Branch1] [S] [Ring1] [=Branch2] [=N] [Ring2] [Ring1] [C]
[C][N][C][=C][C][Branch2][Ring2][O][C][=C][C][Branch2][Ring1][=C][N][C][=C][C][=C][Branch2][Ring1][C][N][C][=N][C][Branch1][=Branch2][N][C][C][O][C][C][Ring1][=Branch1][=N][Ring1][O][C][=C][Ring1][P][=N][C][=C][Ring2][Ring1][Branch2][F][=N][Ring2][Ring1][=C]	[C] [N] [C] [=C] [C] [Branch2] [Ring2] [O] [C] [=C] [C] [Branch2] [Ring1] [=C] [N] [C] [=C] [C] [=C] [Branch2] [Ring1] [C] [N] [C] [=N] [C] [Branch1] [=Branch2] [N] [C] [C] [O] [C] [C] [Ring1] [=Branch1] [=N] [Ring1] [O] [C] [=C] [Ring1] [P] [=N] [C] [=C] [Ring2] [Ring1] [Branch2] [F] [=N] [Ring2] [Ring1] [=C]
[N][#C][C][=C][N][=C][C][=N][C][Branch1][O][N][C][C][=C][C][=C][N][=C][Ring1][=Branch1][=C][C][Ring1][=C][=C][Ring2][Ring1][C][N][C][=C][C][=C][Branch1][C][F][C][Branch1][C][Cl][=C][Ring1][Branch2]	[N] [#C] [C] [=C] [N] [=C] [C] [=N] [C] [Branch1] [O] [N] [C] [C] [=C] [C] [=C] [N] [=C] [Ring1] [=Branch1] [=C] [C] [Ring1] [=C] [=C] [Ring2] [Ring1] [C] [N] [C] [=C] [C] [=C] [Branch1] [C] [F] [C] [Branch1] [C] [Cl] [=C] [Ring1] [Branch2]
[C][O][C][=C][C][Branch1][S][N][C][C][N][Branch1][=Branch1][C][Branch1][C][C][C][C][C][Ring1][=Branch2][=C][C][=C][Ring1][#C][N][C][=N][C][Branch2][Ring1][C][N][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][C][Branch1][C][N][=O][=C][C][=C][NH1][C][Ring1][Branch1][=N][Ring2][Ring1][Ring2]	[C] [O] [C] [=C] [C] [Branch1] [S] [N] [C] [C] [N] [Branch1] [=Branch1] [C] [Branch1] [C] [C] [C] [C] [C] [Ring1] [=Branch2] [=C] [C] [=C] [Ring1] [#C] [N] [C] [=N] [C] [Branch2] [Ring1] [C] [N] [C] [=C] [C] [=C] [C] [Branch1] [C] [F] [=C] [Ring1] [#Branch1] [C] [Branch1] [C] [N] [=O] [=C] [C] [=C] [NH1] [C] [Ring1] [Branch1] [=N] [Ring2] [Ring1] [Ring2]
[O][C][=N][N][=C][Branch2][Ring1][Ring2][C][=C][C][=N][C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][=N][N][Ring2][Ring1][C][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2]	[O] [C] [=N] [N] [=C] [Branch2] [Ring1] [Ring2] [C] [=C] [C] [=N] [C] [Branch1] [#Branch2] [N] [C] [=C] [C] [=C] [C] [=C] [Ring1] [=Branch1] [=C] [Ring1] [=N] [N] [Ring2] [Ring1] [C] [C] [=C] [C] [=C] [C] [=C] [C] [=C] [C] [Ring1] [=Branch1] [=C] [Ring1] [#Branch2]
[N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=C][C][=N][C][Branch1][#Branch2][O][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][=N]	[N] [C] [=Branch1] [C] [=O] [C] [=C] [C] [=C] [C] [=C] [Ring1] [=Branch1] [N] [C] [=C] [C] [=N] [C] [Branch1] [#Branch2] [O] [C] [=C] [C] [=C] [C] [=C] [Ring1] [=Branch1] [=C] [Ring1] [=N]
[C][N][C][=C][C][=C][Branch1][=N][N][C][=C][C][=C][C][Branch1][C][Br][=C][Ring1][#Branch1][N][=C][N][=C][Ring1][=C][C][=N][Ring2][Ring1][C]	[C] [N] [C] [=C] [C] [=C] [Branch1] [=N] [N] [C] [=C] [C] [=C] [C] [Branch1] [C] [Br] [=C] [Ring1] [#Branch1] [N] [=C] [N] [=C] [Ring1] [=C] [C] [=N] [Ring2] [Ring1] [C]
[C][S][=Branch1][C][=O][=Branch1][C][=O][N][C][=C][C][=C][Branch2][Ring1][#Branch2][C][=C][N][=C][C][=C][C][=C][Branch1][#Branch2][N][C][=N][C][=C][C][=N][Ring1][=Branch1][C][Ring1][=N][=C][Ring1][P][C][=C][Ring2][Ring1][#Branch1]	[C] [S] [=Branch1] [C] [=O] [=Branch1] [C] [=O] [N] [C] [=C] [C] [=C] [Branch2] [Ring1] [#Branch2] [C] [=C] [N] [=C] [C] [=C] [C] [=C] [Branch1] [#Branch2] [N] [C] [=N] [C] [=C] [C] [=N] [Ring1] [=Branch1] [C] [Ring1] [=N] [=C] [Ring1] [P] [C] [=C] [Ring2] [Ring1] [#Branch1]
[C][C][N][Branch2][Branch1][Ring2][C][C][C][O][C][=C][C][=C][C][Branch2][Ring1][=N][N][C][C][=C][Branch2][Ring1][C][C][C][=Branch1][C][=O][N][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][NH1][N][=Ring1][S][=N][C][=N][C][Ring2][Ring1][#Branch1][=C][Ring2][Ring1][O][C][C][O][P][=Branch1][C][=O][Branch1][C][O][O]	[C] [C] [N] [Branch2] [Branch1] [Ring2] [C] [C] [C] [O] [C] [=C] [C] [=C] [C] [Branch2] [Ring1] [=N] [N] [C] [C] [=C] [Branch2] [Ring1] [C] [C] [C] [=Branch1] [C] [=O] [N] [C] [=C] [C] [=C] [C] [Branch1] [C] [F] [=C] [Ring1] [#Branch1] [NH1] [N] [=Ring1] [S] [=N] [C] [=N] [C] [Ring2] [Ring1] [#Branch1] [=C] [Ring2] [Ring1] [O] [C] [C] [O] [P] [=Branch1] [C] [=O] [Branch1] [C] [O] [O]
[C][C][=C][C][=C][C][Branch2][Ring1][Branch2][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][N][=C][Ring2][Ring1][Branch1][N][C][C][C][Branch1][Branch1][C][C][Ring1][=Branch1][O][C][C][O][Ring1][#Branch1]	[C] [C] [=C] [C] [=C] [C] [Branch2] [Ring1] [Branch2] [N] [C] [=Branch1] [C] [=O] [C] [=C] [C] [=C] [Branch1] [#Branch2] [C] [C] [=C] [C] [=C] [C] [=C] [Ring1] [=Branch1] [O] [Ring1] [N] [=C] [Ring2] [Ring1] [Branch1] [N] [C] [C] [C] [Branch1] [Branch1] [C] [C] [Ring1] [=Branch1] [O] [C] [C] [O] [Ring1] [#Branch1]
[C][C][NH1][C][Branch2][Ring1][Branch1][C][=C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][Ring1][O][=C][Branch1][C][C][C][=Ring2][Ring1][C][C][=Branch1][C][=O][N][C][C][Branch1][C][O][C][N][C][C][O][C][C][Ring1][=Branch1]	[C] [C] [NH1] [C] [Branch2] [Ring1] [Branch1] [C] [=C] [C] [=Branch1] [C] [=O] [N] [C] [=C] [C] [=C] [Branch1] [C] [F] [C] [=C] [Ring1] [#Branch1] [Ring1] [O] [=C] [Branch1] [C] [C] [C] [=Ring2] [Ring1] [C] [C] [=Branch1] [C] [=O] [N] [C] [C] [Branch1] [C] [O] [C] [N] [C] [C] [O] [C] [C] [Ring1] [=Branch1]
[O][=N][C][=C][Branch1][C][O][N][Branch2][Ring1][Ring1][C][C][=C][C][Branch1][C][F][=C][C][=C][Ring1][#Branch1][O][C][O][C][Ring1][=Branch1][C][=C][C][=C][C][Branch1][N][C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][=C][Ring2][Ring1][=N][Ring1][=N]	[O] [=N] [C] [=C] [Branch1] [C] [O] [N] [Branch2] [Ring1] [Ring1] [C] [C] [=C] [C] [Branch1] [C] [F] [=C] [C] [=C] [Ring1] [#Branch1] [O] [C] [O] [C] [Ring1] [=Branch1] [C] [=C] [C] [=C] [C] [Branch1] [N] [C] [=C] [C] [=C] [C] [Branch1] [C] [F] [=C] [Ring1] [#Branch1] [=C] [Ring2] [Ring1] [=N] [Ring1] [=N]
[O][=N+1][Branch1][C][O-1][C][=C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O][Ring1][=Branch1]	[O] [=N+1] [Branch1] [C] [O-1] [C] [=C] [C] [=C] [C] [=C] [C] [=Branch1] [Ring2] [=C] [Ring1] [=Branch1] [O] [C] [O] [Ring1] [=Branch1]
[C][O][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Branch1][C][S][C][=C][C][=C][C][=C][Ring1][=Branch1][N][=C][Ring1][P][Ring1][O]	[C] [O] [C] [=C] [C] [=C] [Branch1] [Ring1] [O] [C] [C] [=C] [Branch1] [C] [S] [C] [=C] [C] [=C] [C] [=C] [Ring1] [=Branch1] [N] [=C] [Ring1] [P] [Ring1] [O]
[O][=C][Branch1][S][C][C][=C][C][=C][C][=N][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1][N][C][S][C][=C][Branch1][C][Br][C][=Ring1][=Branch1][C][=N][C][=N][NH1][Ring1][Branch1]	[O] [=C] [Branch1] [S] [C] [C] [=C] [C] [=C] [C] [=N] [C] [=C] [C] [=C] [Ring1] [#Branch2] [Ring1] [=Branch1] [N] [C] [S] [C] [=C] [Branch1] [C] [Br] [C] [=Ring1] [=Branch1] [C] [=N] [C] [=N] [NH1] [Ring1] [Branch1]
